Dogleg Logs

x =[0.0413;0.6432;0.6756;0.9006;0.4818;0.7941;0.8919;0.9035;0.7755;0.9288;0.8659;0.5903]


fvalue =

    7.4743


tvals =

     0

iter =  65: x = [0.448891;0.226861;-0.10582;0.11984;0.816714;0.719764;0.421634;0.28627;0.00762297;0.0804983;0.31906;0.123879], F(x) = 5.056632
iter =  66: x = [0.448891;0.226861;-0.10582;0.11984;0.816714;0.719764;0.421634;0.28627;0.00762297;0.0804983;0.31906;0.123879], F(x) = 5.056632
iter =  67: x = [0.448891;0.226861;-0.10582;0.11984;0.816714;0.719764;0.421634;0.28627;0.00762297;0.0804983;0.31906;0.123879], F(x) = 5.056632
iter =  68: x = [0.448891;0.226861;-0.10582;0.11984;0.816714;0.719764;0.421634;0.28627;0.00762297;0.0804983;0.31906;0.123879], F(x) = 5.056632
iter =  69: x = [0.448891;0.226861;-0.10582;0.11984;0.816714;0.719764;0.421634;0.28627;0.00762297;0.0804983;0.31906;0.123879], F(x) = 5.056632
iter =  70: x = [0.448891;0.226861;-0.10582;0.11984;0.816714;0.719764;0.421634;0.28627;0.00762297;0.0804983;0.31906;0.123879], F(x) = 5.056632
iter =  71: x = [0.448891;0.226861;-0.10582;0.11984;0.816714;0.719764;0.421634;0.28627;0.00762297;0.0804983;0.31906;0.123879], F(x) = 5.056632
iter =  72: x = [0.448891;0.226861;-0.10582;0.11984;0.816714;0.719764;0.421634;0.28627;0.00762297;0.0804983;0.31906;0.123879], F(x) = 5.056632
iter =  73: x = [0.448891;0.226861;-0.10582;0.11984;0.816714;0.719764;0.421634;0.28627;0.00762297;0.0804983;0.31906;0.123879], F(x) = 5.056632
iter =  74: x = [0.448891;0.226861;-0.10582;0.11984;0.816714;0.719764;0.421634;0.28627;0.00762297;0.0804983;0.31906;0.123879], F(x) = 5.056632
iter =  75: x = [0.448891;0.226861;-0.10582;0.11984;0.816714;0.719764;0.421634;0.28627;0.00762297;0.0804983;0.31906;0.123879], F(x) = 5.056632
iter =  76: x = [0.448891;0.226861;-0.10582;0.11984;0.816714;0.719764;0.421634;0.28627;0.00762297;0.0804983;0.31906;0.123879], F(x) = 5.056632
iter =  77: x = [0.448891;0.226861;-0.10582;0.11984;0.816714;0.719764;0.421634;0.28627;0.00762297;0.0804983;0.31906;0.123879], F(x) = 5.056632
iter =  78: x = [0.448891;0.226861;-0.10582;0.11984;0.816714;0.719764;0.421634;0.28627;0.00762297;0.0804983;0.31906;0.123879], F(x) = 5.056632
iter =  79: x = [0.448891;0.226861;-0.10582;0.11984;0.816714;0.719764;0.421634;0.28627;0.00762297;0.0804983;0.31906;0.123879], F(x) = 5.056632
iter =  80: x = [0.448891;0.226861;-0.10582;0.11984;0.816714;0.719764;0.421634;0.28627;0.00762297;0.0804983;0.31906;0.123879], F(x) = 5.056632
iter =  81: x = [0.448891;0.226861;-0.10582;0.11984;0.816714;0.719764;0.421634;0.28627;0.00762297;0.0804983;0.31906;0.123879], F(x) = 5.056632
iter =  82: x = [0.448891;0.226861;-0.10582;0.11984;0.816714;0.719764;0.421634;0.28627;0.00762297;0.0804983;0.31906;0.123879], F(x) = 5.056632
iter =  83: x = [0.448891;0.226861;-0.10582;0.11984;0.816714;0.719764;0.421634;0.28627;0.00762297;0.0804983;0.31906;0.123879], F(x) = 5.056632
iter =  84: x = [0.448891;0.226861;-0.10582;0.11984;0.816714;0.719764;0.421634;0.28627;0.00762297;0.0804983;0.31906;0.123879], F(x) = 5.056632
iter =  85: x = [0.448891;0.226861;-0.10582;0.11984;0.816714;0.719764;0.421634;0.28627;0.00762297;0.0804983;0.31906;0.123879], F(x) = 5.056632
iter =  86: x = [0.448891;0.226861;-0.10582;0.11984;0.816714;0.719764;0.421634;0.28627;0.00762297;0.0804983;0.31906;0.123879], F(x) = 5.056632
iter =  87: x = [0.448891;0.226861;-0.10582;0.11984;0.816714;0.719764;0.421634;0.28627;0.00762297;0.0804983;0.31906;0.123879], F(x) = 5.056632
iter =  88: x = [0.448891;0.226861;-0.10582;0.11984;0.816714;0.719764;0.421634;0.28627;0.00762297;0.0804983;0.31906;0.123879], F(x) = 5.056632
iter =  89: x = [0.448891;0.226861;-0.10582;0.11984;0.816714;0.719764;0.421634;0.28627;0.00762297;0.0804983;0.31906;0.123879], F(x) = 5.056632
iter =  90: x = [0.448891;0.226861;-0.10582;0.11984;0.816714;0.719764;0.421634;0.28627;0.00762297;0.0804983;0.31906;0.123879], F(x) = 5.056632
iter =  91: x = [0.448891;0.226861;-0.10582;0.11984;0.816714;0.719764;0.421634;0.28627;0.00762297;0.0804983;0.31906;0.123879], F(x) = 5.056632
iter =  92: x = [0.448891;0.226861;-0.10582;0.11984;0.816714;0.719764;0.421634;0.28627;0.00762297;0.0804983;0.31906;0.123879], F(x) = 5.056632
iter =  93: x = [0.448891;0.226861;-0.10582;0.11984;0.816714;0.719764;0.421634;0.28627;0.00762297;0.0804983;0.31906;0.123879], F(x) = 5.056632
iter =  94: x = [0.448891;0.226861;-0.10582;0.11984;0.816714;0.719764;0.421634;0.28627;0.00762297;0.0804983;0.31906;0.123879], F(x) = 5.056632
iter =  95: x = [0.448891;0.226861;-0.10582;0.11984;0.816714;0.719764;0.421634;0.28627;0.00762297;0.0804983;0.31906;0.123879], F(x) = 5.056632
iter =  96: x = [0.448891;0.226861;-0.10582;0.11984;0.816714;0.719764;0.421634;0.28627;0.00762297;0.0804983;0.31906;0.123879], F(x) = 5.056632
iter =  97: x = [0.448891;0.226861;-0.10582;0.11984;0.816714;0.719764;0.421634;0.28627;0.00762297;0.0804983;0.31906;0.123879], F(x) = 5.056632
iter =  98: x = [0.448891;0.226861;-0.10582;0.11984;0.816714;0.719764;0.421634;0.28627;0.00762297;0.0804983;0.31906;0.123879], F(x) = 5.056632
iter =  99: x = [0.448891;0.226861;-0.10582;0.11984;0.816714;0.719764;0.421634;0.28627;0.00762297;0.0804983;0.31906;0.123879], F(x) = 5.056632
iter = 100: x = [0.448891;0.226861;-0.10582;0.11984;0.816714;0.719764;0.421634;0.28627;0.00762297;0.0804983;0.31906;0.123879], F(x) = 5.056632
iter = 101: x = [0.448891;0.226861;-0.10582;0.11984;0.816714;0.719764;0.421634;0.28627;0.00762297;0.0804983;0.31906;0.123879], F(x) = 5.056632
G(x) = 
    5.0566

G(x) = 
    5.0566

Elapsed time is 1.568268 seconds.



Iterative_final


x = [0.9800;0.8121;0.3678;0.8734;0.8551;0.9032;0.3760;0.2975;0.0772;-0.1378;0.8106;0.5418]


fvalue =

    5.3810

iter =   1: x = [0.973808;0.815251;0.377993;0.857687;0.861023;0.899532;0.377205;0.294209;0.0757065;0.134945;0.806201;0.544225], F(x) = 5.044220
iter =   2: x = [0.965091;0.819681;0.393917;0.833888;0.86963;0.894265;0.378947;0.28915;0.0732782;0.130643;0.799879;0.547747], F(x) = 4.572620
iter =   3: x = [0.962946;0.820774;0.398558;0.827251;0.871852;0.892915;0.379417;0.287726;0.0725475;0.129418;0.798244;0.548652], F(x) = 4.449245
iter =   4: x = [0.960836;0.82185;0.403335;0.820504;0.874063;0.891574;0.37989;0.286273;0.0717885;0.128164;0.796615;0.549551], F(x) = 4.327254
iter =   5: x = [0.95877;0.822904;0.408235;0.813669;0.876252;0.890247;0.380364;0.284796;0.0710024;0.126885;0.794998;0.550442], F(x) = 4.207170
iter =   6: x = [0.956753;0.823933;0.413244;0.806767;0.878411;0.888941;0.380839;0.2833;0.0701907;0.125585;0.793399;0.55132], F(x) = 4.089492
iter =   7: x = [0.954793;0.824933;0.41835;0.799822;0.880531;0.887658;0.381311;0.281788;0.0693552;0.124267;0.791822;0.552182], F(x) = 3.974678
iter =   8: x = [0.952895;0.825901;0.423536;0.792855;0.882606;0.886405;0.381779;0.280266;0.0684975;0.122934;0.790273;0.553025], F(x) = 3.863121
iter =   9: x = [0.951063;0.826836;0.42879;0.785884;0.884628;0.885184;0.382242;0.278736;0.0676191;0.121591;0.788755;0.553846], F(x) = 3.755141
iter =  10: x = [0.949298;0.827735;0.4341;0.778926;0.886594;0.883997;0.382699;0.277202;0.0667212;0.120238;0.78727;0.554644], F(x) = 3.650973
iter =  11: x = [0.947601;0.828599;0.439458;0.771993;0.888501;0.882847;0.383148;0.275666;0.0658045;0.118878;0.785819;0.555416], F(x) = 3.550767
iter =  12: x = [0.945972;0.829427;0.444857;0.765092;0.890348;0.881733;0.383589;0.274129;0.064869;0.117512;0.784403;0.556162], F(x) = 3.454583
iter =  13: x = [0.944408;0.83022;0.450296;0.758224;0.892134;0.880655;0.384022;0.272591;0.063914;0.11614;0.783022;0.556882], F(x) = 3.362407
iter =  14: x = [0.942905;0.830979;0.455777;0.751387;0.893863;0.879612;0.384447;0.271051;0.0629378;0.114761;0.781672;0.557576], F(x) = 3.274150
iter =  15: x = [0.94146;0.831708;0.461308;0.744571;0.895537;0.878601;0.384863;0.269506;0.0619378;0.113372;0.780351;0.558246], F(x) = 3.189662
iter =  16: x = [0.940067;0.832407;0.466902;0.737759;0.897161;0.87762;0.385272;0.267951;0.0609101;0.111969;0.779054;0.558894], F(x) = 3.108741
iter =  17: x = [0.938722;0.833083;0.472579;0.73093;0.89874;0.876664;0.385674;0.266381;0.0598492;0.110546;0.777778;0.559521], F(x) = 3.031133
iter =  18: x = [0.937412;0.833732;0.478368;0.724049;0.900283;0.87573;0.386071;0.264786;0.0587479;0.109096;0.776516;0.560132], F(x) = 2.956553
iter =  19: x = [0.936133;0.834362;0.484309;0.717072;0.901797;0.87481;0.386465;0.263155;0.0575955;0.107608;0.775259;0.560728], F(x) = 2.884664
iter =  20: x = [0.934873;0.834978;0.490457;0.70994;0.903293;0.8739;0.386857;0.261472;0.0563777;0.106066;0.773995;0.561312], F(x) = 2.815075
iter =  21: x = [0.933621;0.835585;0.496894;0.702566;0.904787;0.872989;0.387251;0.259714;0.0550735;0.10445;0.772711;0.56189], F(x) = 2.747321
iter =  22: x = [0.932359;0.83619;0.503739;0.694822;0.906297;0.872064;0.387652;0.257846;0.0536511;0.102726;0.771387;0.562469], F(x) = 2.680815
iter =  23: x = [0.931061;0.836805;0.511191;0.686505;0.907854;0.871106;0.388065;0.255814;0.0520585;0.100842;0.76999;0.563056], F(x) = 2.614752
iter =  24: x = [0.929682;0.837445;0.519602;0.677249;0.909508;0.870081;0.388503;0.253518;0.0502003;0.0987052;0.768462;0.563668], F(x) = 2.547864
iter =  25: x = [0.92813;0.838146;0.529738;0.66627;0.911367;0.868919;0.388988;0.250741;0.047868;0.0961106;0.76668;0.56433], F(x) = 2.477746
iter =  26: x = [0.926121;0.839004;0.543933;0.651186;0.913754;0.867402;0.389584;0.246822;0.0444107;0.0924374;0.764257;0.565106], F(x) = 2.398128
iter =  27: x = [0.920907;0.840571;0.583611;0.610446;0.919539;0.863446;0.390558;0.235541;0.0333034;0.0820268;0.757127;0.565765], F(x) = 2.284458
iter =  28: x = [0.920907;0.840571;0.583611;0.610446;0.919539;0.863446;0.390558;0.235541;0.0333034;0.0820268;0.757127;0.565765], F(x) = 2.284458
iter =  29: x = [0.920907;0.840571;0.583611;0.610446;0.919539;0.863446;0.390558;0.235541;0.0333034;0.0820268;0.757127;0.565765], F(x) = 2.284458
iter =  30: x = [0.920907;0.840571;0.583611;0.610446;0.919539;0.863446;0.390558;0.235541;0.0333034;0.0820268;0.757127;0.565765], F(x) = 2.284458
iter =  31: x = [0.920907;0.840571;0.583611;0.610446;0.919539;0.863446;0.390558;0.235541;0.0333034;0.0820268;0.757127;0.565765], F(x) = 2.284458
iter =  32: x = [0.920907;0.840571;0.583611;0.610446;0.919539;0.863446;0.390558;0.235541;0.0333034;0.0820268;0.757127;0.565765], F(x) = 2.284458
iter =  33: x = [0.920907;0.840571;0.583611;0.610446;0.919539;0.863446;0.390558;0.235541;0.0333034;0.0820268;0.757127;0.565765], F(x) = 2.284458
iter =  34: x = [0.920907;0.840571;0.583611;0.610446;0.919539;0.863446;0.390558;0.235541;0.0333034;0.0820268;0.757127;0.565765], F(x) = 2.284458
iter =  35: x = [0.920907;0.840571;0.583611;0.610446;0.919539;0.863446;0.390558;0.235541;0.0333034;0.0820268;0.757127;0.565765], F(x) = 2.284458
iter =  36: x = [0.920907;0.840571;0.583611;0.610446;0.919539;0.863446;0.390558;0.235541;0.0333034;0.0820268;0.757127;0.565765], F(x) = 2.284458
iter =  37: x = [0.920907;0.840571;0.583611;0.610446;0.919539;0.863446;0.390558;0.235541;0.0333034;0.0820268;0.757127;0.565765], F(x) = 2.284458
iter =  38: x = [0.920907;0.840571;0.583611;0.610446;0.919539;0.863446;0.390558;0.235541;0.0333034;0.0820268;0.757127;0.565765], F(x) = 2.284458
iter =  39: x = [0.920907;0.840571;0.583611;0.610446;0.919539;0.863446;0.390558;0.235541;0.0333034;0.0820268;0.757127;0.565765], F(x) = 2.284458
iter =  40: x = [0.920907;0.840571;0.583611;0.610446;0.919539;0.863446;0.390558;0.235541;0.0333034;0.0820268;0.757127;0.565765], F(x) = 2.284458
iter =  41: x = [0.920907;0.840571;0.583611;0.610446;0.919539;0.863446;0.390558;0.235541;0.0333034;0.0820268;0.757127;0.565765], F(x) = 2.284458
iter =  42: x = [0.920907;0.840571;0.583611;0.610446;0.919539;0.863446;0.390558;0.235541;0.0333034;0.0820268;0.757127;0.565765], F(x) = 2.284458
iter =  43: x = [0.920907;0.840571;0.583611;0.610446;0.919539;0.863446;0.390558;0.235541;0.0333034;0.0820268;0.757127;0.565765], F(x) = 2.284458
iter =  44: x = [0.920907;0.840571;0.583611;0.610446;0.919539;0.863446;0.390558;0.235541;0.0333034;0.0820268;0.757127;0.565765], F(x) = 2.284458
iter =  45: x = [0.920907;0.840571;0.583611;0.610446;0.919539;0.863446;0.390558;0.235541;0.0333034;0.0820268;0.757127;0.565765], F(x) = 2.284458
iter =  46: x = [0.920907;0.840571;0.583611;0.610446;0.919539;0.863446;0.390558;0.235541;0.0333034;0.0820268;0.757127;0.565765], F(x) = 2.284458
iter =  47: x = [0.920907;0.840571;0.583611;0.610446;0.919539;0.863446;0.390558;0.235541;0.0333034;0.0820268;0.757127;0.565765], F(x) = 2.284458
iter =  48: x = [0.920907;0.840571;0.583611;0.610446;0.919539;0.863446;0.390558;0.235541;0.0333034;0.0820268;0.757127;0.565765], F(x) = 2.284458
iter =  49: x = [0.920907;0.840571;0.583611;0.610446;0.919539;0.863446;0.390558;0.235541;0.0333034;0.0820268;0.757127;0.565765], F(x) = 2.284458
iter =  50: x = [0.920907;0.840571;0.583611;0.610446;0.919539;0.863446;0.390558;0.235541;0.0333034;0.0820268;0.757127;0.565765], F(x) = 2.284458
iter =  51: x = [0.920907;0.840571;0.583611;0.610446;0.919539;0.863446;0.390558;0.235541;0.0333034;0.0820268;0.757127;0.565765], F(x) = 2.284458
iter =  52: x = [0.920907;0.840571;0.583611;0.610446;0.919539;0.863446;0.390558;0.235541;0.0333034;0.0820268;0.757127;0.565765], F(x) = 2.284458
iter =  53: x = [0.920907;0.840571;0.583611;0.610446;0.919539;0.863446;0.390558;0.235541;0.0333034;0.0820268;0.757127;0.565765], F(x) = 2.284458
iter =  54: x = [0.920907;0.840571;0.583611;0.610446;0.919539;0.863446;0.390558;0.235541;0.0333034;0.0820268;0.757127;0.565765], F(x) = 2.284458
iter =  55: x = [0.920907;0.840571;0.583611;0.610446;0.919539;0.863446;0.390558;0.235541;0.0333034;0.0820268;0.757127;0.565765], F(x) = 2.284458
iter =  56: x = [0.920907;0.840571;0.583611;0.610446;0.919539;0.863446;0.390558;0.235541;0.0333034;0.0820268;0.757127;0.565765], F(x) = 2.284458
iter =  57: x = [0.920907;0.840571;0.583611;0.610446;0.919539;0.863446;0.390558;0.235541;0.0333034;0.0820268;0.757127;0.565765], F(x) = 2.284458
iter =  58: x = [0.920907;0.840571;0.583611;0.610446;0.919539;0.863446;0.390558;0.235541;0.0333034;0.0820268;0.757127;0.565765], F(x) = 2.284458
iter =  59: x = [0.920907;0.840571;0.583611;0.610446;0.919539;0.863446;0.390558;0.235541;0.0333034;0.0820268;0.757127;0.565765], F(x) = 2.284458
iter =  60: x = [0.920907;0.840571;0.583611;0.610446;0.919539;0.863446;0.390558;0.235541;0.0333034;0.0820268;0.757127;0.565765], F(x) = 2.284458
iter =  61: x = [0.920907;0.840571;0.583611;0.610446;0.919539;0.863446;0.390558;0.235541;0.0333034;0.0820268;0.757127;0.565765], F(x) = 2.284458
iter =  62: x = [0.920907;0.840571;0.583611;0.610446;0.919539;0.863446;0.390558;0.235541;0.0333034;0.0820268;0.757127;0.565765], F(x) = 2.284458
iter =  63: x = [0.920907;0.840571;0.583611;0.610446;0.919539;0.863446;0.390558;0.235541;0.0333034;0.0820268;0.757127;0.565765], F(x) = 2.284458
iter =  64: x = [0.920907;0.840571;0.583611;0.610446;0.919539;0.863446;0.390558;0.235541;0.0333034;0.0820268;0.757127;0.565765], F(x) = 2.284458
iter =  65: x = [0.920907;0.840571;0.583611;0.610446;0.919539;0.863446;0.390558;0.235541;0.0333034;0.0820268;0.757127;0.565765], F(x) = 2.284458
iter =  66: x = [0.920907;0.840571;0.583611;0.610446;0.919539;0.863446;0.390558;0.235541;0.0333034;0.0820268;0.757127;0.565765], F(x) = 2.284458
iter =  67: x = [0.920907;0.840571;0.583611;0.610446;0.919539;0.863446;0.390558;0.235541;0.0333034;0.0820268;0.757127;0.565765], F(x) = 2.284458
iter =  68: x = [0.920907;0.840571;0.583611;0.610446;0.919539;0.863446;0.390558;0.235541;0.0333034;0.0820268;0.757127;0.565765], F(x) = 2.284458
iter =  69: x = [0.920907;0.840571;0.583611;0.610446;0.919539;0.863446;0.390558;0.235541;0.0333034;0.0820268;0.757127;0.565765], F(x) = 2.284458
iter =  70: x = [0.920907;0.840571;0.583611;0.610446;0.919539;0.863446;0.390558;0.235541;0.0333034;0.0820268;0.757127;0.565765], F(x) = 2.284458
iter =  71: x = [0.920907;0.840571;0.583611;0.610446;0.919539;0.863446;0.390558;0.235541;0.0333034;0.0820268;0.757127;0.565765], F(x) = 2.284458
iter =  72: x = [0.920907;0.840571;0.583611;0.610446;0.919539;0.863446;0.390558;0.235541;0.0333034;0.0820268;0.757127;0.565765], F(x) = 2.284458
iter =  73: x = [0.920907;0.840571;0.583611;0.610446;0.919539;0.863446;0.390558;0.235541;0.0333034;0.0820268;0.757127;0.565765], F(x) = 2.284458
iter =  74: x = [0.920907;0.840571;0.583611;0.610446;0.919539;0.863446;0.390558;0.235541;0.0333034;0.0820268;0.757127;0.565765], F(x) = 2.284458
iter =  75: x = [0.920907;0.840571;0.583611;0.610446;0.919539;0.863446;0.390558;0.235541;0.0333034;0.0820268;0.757127;0.565765], F(x) = 2.284458
iter =  76: x = [0.920907;0.840571;0.583611;0.610446;0.919539;0.863446;0.390558;0.235541;0.0333034;0.0820268;0.757127;0.565765], F(x) = 2.284458
iter =  77: x = [0.920907;0.840571;0.583611;0.610446;0.919539;0.863446;0.390558;0.235541;0.0333034;0.0820268;0.757127;0.565765], F(x) = 2.284458
iter =  78: x = [0.920907;0.840571;0.583611;0.610446;0.919539;0.863446;0.390558;0.235541;0.0333034;0.0820268;0.757127;0.565765], F(x) = 2.284458
iter =  79: x = [0.920907;0.840571;0.583611;0.610446;0.919539;0.863446;0.390558;0.235541;0.0333034;0.0820268;0.757127;0.565765], F(x) = 2.284458
iter =  80: x = [0.920907;0.840571;0.583611;0.610446;0.919539;0.863446;0.390558;0.235541;0.0333034;0.0820268;0.757127;0.565765], F(x) = 2.284458
iter =  81: x = [0.920907;0.840571;0.583611;0.610446;0.919539;0.863446;0.390558;0.235541;0.0333034;0.0820268;0.757127;0.565765], F(x) = 2.284458
iter =  82: x = [0.920907;0.840571;0.583611;0.610446;0.919539;0.863446;0.390558;0.235541;0.0333034;0.0820268;0.757127;0.565765], F(x) = 2.284458
iter =  83: x = [0.920907;0.840571;0.583611;0.610446;0.919539;0.863446;0.390558;0.235541;0.0333034;0.0820268;0.757127;0.565765], F(x) = 2.284458
iter =  84: x = [0.920907;0.840571;0.583611;0.610446;0.919539;0.863446;0.390558;0.235541;0.0333034;0.0820268;0.757127;0.565765], F(x) = 2.284458
iter =  85: x = [0.920907;0.840571;0.583611;0.610446;0.919539;0.863446;0.390558;0.235541;0.0333034;0.0820268;0.757127;0.565765], F(x) = 2.284458
iter =  86: x = [0.920907;0.840571;0.583611;0.610446;0.919539;0.863446;0.390558;0.235541;0.0333034;0.0820268;0.757127;0.565765], F(x) = 2.284458
iter =  87: x = [0.920907;0.840571;0.583611;0.610446;0.919539;0.863446;0.390558;0.235541;0.0333034;0.0820268;0.757127;0.565765], F(x) = 2.284458
iter =  88: x = [0.920907;0.840571;0.583611;0.610446;0.919539;0.863446;0.390558;0.235541;0.0333034;0.0820268;0.757127;0.565765], F(x) = 2.284458
iter =  89: x = [0.920907;0.840571;0.583611;0.610446;0.919539;0.863446;0.390558;0.235541;0.0333034;0.0820268;0.757127;0.565765], F(x) = 2.284458
iter =  90: x = [0.920907;0.840571;0.583611;0.610446;0.919539;0.863446;0.390558;0.235541;0.0333034;0.0820268;0.757127;0.565765], F(x) = 2.284458
iter =  91: x = [0.920907;0.840571;0.583611;0.610446;0.919539;0.863446;0.390558;0.235541;0.0333034;0.0820268;0.757127;0.565765], F(x) = 2.284458
iter =  92: x = [0.920907;0.840571;0.583611;0.610446;0.919539;0.863446;0.390558;0.235541;0.0333034;0.0820268;0.757127;0.565765], F(x) = 2.284458
iter =  93: x = [0.920907;0.840571;0.583611;0.610446;0.919539;0.863446;0.390558;0.235541;0.0333034;0.0820268;0.757127;0.565765], F(x) = 2.284458
iter =  94: x = [0.920907;0.840571;0.583611;0.610446;0.919539;0.863446;0.390558;0.235541;0.0333034;0.0820268;0.757127;0.565765], F(x) = 2.284458
iter =  95: x = [0.920907;0.840571;0.583611;0.610446;0.919539;0.863446;0.390558;0.235541;0.0333034;0.0820268;0.757127;0.565765], F(x) = 2.284458
iter =  96: x = [0.920907;0.840571;0.583611;0.610446;0.919539;0.863446;0.390558;0.235541;0.0333034;0.0820268;0.757127;0.565765], F(x) = 2.284458
iter =  97: x = [0.920907;0.840571;0.583611;0.610446;0.919539;0.863446;0.390558;0.235541;0.0333034;0.0820268;0.757127;0.565765], F(x) = 2.284458
iter =  98: x = [0.920907;0.840571;0.583611;0.610446;0.919539;0.863446;0.390558;0.235541;0.0333034;0.0820268;0.757127;0.565765], F(x) = 2.284458
iter =  99: x = [0.920907;0.840571;0.583611;0.610446;0.919539;0.863446;0.390558;0.235541;0.0333034;0.0820268;0.757127;0.565765], F(x) = 2.284458
iter = 100: x = [0.920907;0.840571;0.583611;0.610446;0.919539;0.863446;0.390558;0.235541;0.0333034;0.0820268;0.757127;0.565765], F(x) = 2.284458
G(x) = 
    2.2845

G(x) = 
    2.2845

Elapsed time is 1.715641 seconds.
