Dogleg Logs

x =[0.0413;0.6432;0.6756;0.9006;0.4818;0.7941;0.8919;0.9035;0.7755;0.9288;0.8659;0.5903]


fvalue =

    7.4743


tvals =

     0

iter =  34: x = [0.0465081;0.0688812;0.835641;0.724221;0.663986;0.449064;0.959526;0.925345;0.959845;0.939997;0.888235;0.789961], F(x) = 1.768072
iter =  35: x = [0.0465081;0.0688812;0.835641;0.724221;0.663986;0.449064;0.959526;0.925345;0.959845;0.939997;0.888235;0.789961], F(x) = 1.768072
iter =  36: x = [0.0465081;0.0688812;0.835641;0.724221;0.663986;0.449064;0.959526;0.925345;0.959845;0.939997;0.888235;0.789961], F(x) = 1.768072
iter =  37: x = [0.0465081;0.0688812;0.835641;0.724221;0.663986;0.449064;0.959526;0.925345;0.959845;0.939997;0.888235;0.789961], F(x) = 1.768072
iter =  38: x = [0.0465081;0.0688812;0.835641;0.724221;0.663986;0.449064;0.959526;0.925345;0.959845;0.939997;0.888235;0.789961], F(x) = 1.768072
iter =  39: x = [0.0465081;0.0688812;0.835641;0.724221;0.663986;0.449064;0.959526;0.925345;0.959845;0.939997;0.888235;0.789961], F(x) = 1.768072
iter =  40: x = [0.0465081;0.0688812;0.835641;0.724221;0.663986;0.449064;0.959526;0.925345;0.959845;0.939997;0.888235;0.789961], F(x) = 1.768072
iter =  41: x = [0.0465081;0.0688812;0.835641;0.724221;0.663986;0.449064;0.959526;0.925345;0.959845;0.939997;0.888235;0.789961], F(x) = 1.768072
iter =  42: x = [0.0465081;0.0688812;0.835641;0.724221;0.663986;0.449064;0.959526;0.925345;0.959845;0.939997;0.888235;0.789961], F(x) = 1.768072
iter =  43: x = [0.0465081;0.0688812;0.835641;0.724221;0.663986;0.449064;0.959526;0.925345;0.959845;0.939997;0.888235;0.789961], F(x) = 1.768072
iter =  44: x = [0.0465081;0.0688812;0.835641;0.724221;0.663986;0.449064;0.959526;0.925345;0.959845;0.939997;0.888235;0.789961], F(x) = 1.768072
iter =  45: x = [0.0465081;0.0688812;0.835641;0.724221;0.663986;0.449064;0.959526;0.925345;0.959845;0.939997;0.888235;0.789961], F(x) = 1.768072
iter =  46: x = [0.0465081;0.0688812;0.835641;0.724221;0.663986;0.449064;0.959526;0.925345;0.959845;0.939997;0.888235;0.789961], F(x) = 1.768072
iter =  47: x = [0.0465081;0.0688812;0.835641;0.724221;0.663986;0.449064;0.959526;0.925345;0.959845;0.939997;0.888235;0.789961], F(x) = 1.768072
iter =  48: x = [0.0465081;0.0688812;0.835641;0.724221;0.663986;0.449064;0.959526;0.925345;0.959845;0.939997;0.888235;0.789961], F(x) = 1.768072
iter =  49: x = [0.0465081;0.0688812;0.835641;0.724221;0.663986;0.449064;0.959526;0.925345;0.959845;0.939997;0.888235;0.789961], F(x) = 1.768072
iter =  50: x = [0.0465081;0.0688812;0.835641;0.724221;0.663986;0.449064;0.959526;0.925345;0.959845;0.939997;0.888235;0.789961], F(x) = 1.768072
iter =  51: x = [0.0465081;0.0688812;0.835641;0.724221;0.663986;0.449064;0.959526;0.925345;0.959845;0.939997;0.888235;0.789961], F(x) = 1.768072
iter =  52: x = [0.0465081;0.0688812;0.835641;0.724221;0.663986;0.449064;0.959526;0.925345;0.959845;0.939997;0.888235;0.789961], F(x) = 1.768072
iter =  53: x = [0.0465081;0.0688812;0.835641;0.724221;0.663986;0.449064;0.959526;0.925345;0.959845;0.939997;0.888235;0.789961], F(x) = 1.768072
iter =  54: x = [0.0465081;0.0688812;0.835641;0.724221;0.663986;0.449064;0.959526;0.925345;0.959845;0.939997;0.888235;0.789961], F(x) = 1.768072
iter =  55: x = [0.0465081;0.0688812;0.835641;0.724221;0.663986;0.449064;0.959526;0.925345;0.959845;0.939997;0.888235;0.789961], F(x) = 1.768072
iter =  56: x = [0.0465081;0.0688812;0.835641;0.724221;0.663986;0.449064;0.959526;0.925345;0.959845;0.939997;0.888235;0.789961], F(x) = 1.768072
iter =  57: x = [0.0465081;0.0688812;0.835641;0.724221;0.663986;0.449064;0.959526;0.925345;0.959845;0.939997;0.888235;0.789961], F(x) = 1.768072
iter =  58: x = [0.0465081;0.0688812;0.835641;0.724221;0.663986;0.449064;0.959526;0.925345;0.959845;0.939997;0.888235;0.789961], F(x) = 1.768072
iter =  59: x = [0.0465081;0.0688812;0.835641;0.724221;0.663986;0.449064;0.959526;0.925345;0.959845;0.939997;0.888235;0.789961], F(x) = 1.768072
iter =  60: x = [0.0465081;0.0688812;0.835641;0.724221;0.663986;0.449064;0.959526;0.925345;0.959845;0.939997;0.888235;0.789961], F(x) = 1.768072
iter =  61: x = [0.0465081;0.0688812;0.835641;0.724221;0.663986;0.449064;0.959526;0.925345;0.959845;0.939997;0.888235;0.789961], F(x) = 1.768072
iter =  62: x = [0.0465081;0.0688812;0.835641;0.724221;0.663986;0.449064;0.959526;0.925345;0.959845;0.939997;0.888235;0.789961], F(x) = 1.768072
iter =  63: x = [0.0465081;0.0688812;0.835641;0.724221;0.663986;0.449064;0.959526;0.925345;0.959845;0.939997;0.888235;0.789961], F(x) = 1.768072
iter =  64: x = [0.0465081;0.0688812;0.835641;0.724221;0.663986;0.449064;0.959526;0.925345;0.959845;0.939997;0.888235;0.789961], F(x) = 1.768072
iter =  65: x = [0.0465081;0.0688812;0.835641;0.724221;0.663986;0.449064;0.959526;0.925345;0.959845;0.939997;0.888235;0.789961], F(x) = 1.768072
iter =  66: x = [0.0465081;0.0688812;0.835641;0.724221;0.663986;0.449064;0.959526;0.925345;0.959845;0.939997;0.888235;0.789961], F(x) = 1.768072
iter =  67: x = [0.0465081;0.0688812;0.835641;0.724221;0.663986;0.449064;0.959526;0.925345;0.959845;0.939997;0.888235;0.789961], F(x) = 1.768072
